2024-08-05 14:40:20+00,Ospin,AttackAnythingAction,"POINT(1866.06 -2995.86)",4,11,30.51,"Wetlands Crocolisk","1400"
2024-08-05 14:40:23+00,Glykea,AttackAnythingAction,"POINT(-15567.14 5874.96)",4,4,12.73,"Gnarlpine Defender","2010"
2024-08-05 14:40:27+00,Yseultb,AttackAnythingAction,"POINT(-14038.02 931.31)",2,1,21.22,"Twilight Thug","2339"
2024-08-05 14:40:28+00,Thietgardaa,AttackAnythingAction,"POINT(-13585.04 2999.16)",7,9,16.10,"Wild Grell","2190"
2024-08-05 14:40:29+00,Lubiasb,AttackAnythingAction,"POINT(-1644.65 -10616.00)",1,2,21.25,"Harvest Watcher","114"
2024-08-05 14:40:30+00,Moldec,AttackAnythingAction,"POINT(-12788.46 -6861.25)",6,1,8.95,"Battleboar","2966"
2024-08-05 14:40:31+00,Clymence,AttackAnythingAction,"POINT(2658.11 -3021.75)",1,2,28.14,"Highland Scytheclaw","1017"
2024-08-05 14:40:31+00,Moldeb,AttackAnythingAction,"POINT(275.30 -11452.10)",8,1,29.46,"Young Panther","683"
2024-08-05 14:40:32+00,Miraa,AttackAnythingAction,"POINT(-9102.55 -2357.66)",2,3,12.57,"Elder Mottled Boar","3100"
2024-08-05 14:40:33+00,Wyliame,AttackAnythingAction,"POINT(-375.99 2679.24)",5,8,13.16,"Rot Hide Mongrel","1675"
2024-08-05 14:40:33+00,Aristonymosb,AttackAnythingAction,"POINT(-8958.48 -4261.44)",2,4,8.56,"Dire Mottled Boar","3099"
2024-08-05 14:40:33+00,Averilb,AttackAnythingAction,"POINT(924.11 -908.81)",4,4,30.84,"Mudsnout Gnoll","2372"
2024-08-05 14:40:34+00,Aitziberc,AttackAnythingAction,"POINT(-11548.19 -3124.97)",2,1,17.15,"Burning Blade Acolyte","3380"
2024-08-05 14:40:34+00,Glykea,StoreLootAction,"POINT(-15554.40 5873.90)",4,4,12.73,"Refreshing Spring Water","159"
2024-08-05 14:40:35+00,Ospin,XpGainAction,"POINT(1866.06 -2995.86)",4,11,30.52,"Wetlands Crocolisk","194"
2024-08-05 14:40:35+00,Ospin,XpGainAction,"POINT(1866.06 -2995.86)",4,11,30.52,"Wetlands Crocolisk","194"
2024-08-05 14:40:36+00,Prinetadasb,AttackAnythingAction,"POINT(-633.67 -5169.25)",4,1,30.00,"Addled Leper","6221"
2024-08-05 14:40:40+00,Theodananda,AttackAnythingAction,"POINT(1303.95 -9730.64)",4,5,13.59,"Prowler","118"
2024-08-05 14:40:40+00,Wlfildisc,AttackAnythingAction,"POINT(-278.13 -10573.90)",4,4,30.89,"Skeletal Horror","202"
2024-08-05 14:40:40+00,Joel,GuildLeaveAction,"POINT(-12980.46 3114.50)",4,11,29.25,"The Legacy Meathooks","69"
2024-08-05 14:40:40+00,Galiennec,AttackAnythingAction,"POINT(-13646.20 2388.86)",4,5,20.41,"Raging Moonkin","10160"
2024-08-05 14:40:40+00,Gatzarietac,AttackAnythingAction,"POINT(2880.00 -5482.67)",1,9,10.23,"Elder Black Bear","1186"
2024-08-05 14:40:41+00,Tietlenda,AttackAnythingAction,"POINT(-234.67 -10244.30)",1,2,31.25,"Plague Spreader","604"
2024-08-05 14:40:42+00,Phokiona,AttackAnythingAction,"POINT(-13708.67 416.00)",8,3,25.08,"Wild Buck","3816"
2024-08-05 14:40:42+00,Anabillc,AttackAnythingAction,"POINT(-15251.37 6117.92)",4,11,8.62,"Gnarlpine Defender","2010"
2024-08-05 14:40:42+00,Marilena,AttackAnythingAction,"POINT(2185.77 -9722.40)",1,9,23.23,"Great Goretusk","547"
2024-08-05 14:40:42+00,Aitziberc,XpGainAction,"POINT(-11536.06 -3138.13)",2,1,17.16,"Burning Blade Acolyte","114"
2024-08-05 14:40:43+00,Aitziberc,XpGainAction,"POINT(-11536.06 -3138.13)",2,1,17.16,"Burning Blade Acolyte","114"
2024-08-05 14:40:43+00,Lezaetaa,AttackAnythingAction,"POINT(55.37 -8777.22)",1,2,5.10,"Timber Wolf","69"
2024-08-05 14:40:43+00,Cudbertb,AttackAnythingAction,"POINT(-15283.58 6093.48)",4,4,11.56,"Gnarlpine Shaman","2009"
2024-08-05 14:40:44+00,Ospin,StoreLootAction,"POINT(1847.41 -2979.55)",4,11,30.52,"Pointy Crocolisk Tooth","770"
2024-08-05 14:40:44+00,Ospin,StoreLootAction,"POINT(1847.41 -2979.55)",4,11,30.52,"Tender Crocolisk Meat","3667"
2024-08-05 14:40:45+00,Ospin,AttackAnythingAction,"POINT(1847.41 -2979.55)",4,11,30.52,"Mosshide Brute","1012"
2024-08-05 14:40:45+00,Ababiliad,AttackAnythingAction,"POINT(-675.11 -5161.35)",4,11,30.29,"Addled Leper","6221"
2024-08-05 14:40:45+00,Anselmeb,AttackAnythingAction,"POINT(-14146.31 900.88)",4,4,24.70,"Twilight Thug","2339"
2024-08-05 14:40:46+00,Aldiythad,StoreLootAction,"POINT(-11051.77 -4091.74)",2,3,30.18,"Haunch of Meat","2287"
2024-08-05 14:40:47+00,Sandurub,AttackAnythingAction,"POINT(-10852.88 -2894.97)",2,1,19.67,"Hecklefang Hyena","4127"
2024-08-05 14:40:47+00,Philipa,AttackAnythingAction,"POINT(-12818.06 -1520.43)",3,3,20.48,"Ashenvale Bear","3809"
2024-08-05 14:40:47+00,Dyanac,AttackAnythingAction,"POINT(-14968.25 -1119.42)",4,4,29.06,"Antlered Courser","4018"
2024-08-05 14:40:47+00,Estibaliz,AttackAnythingAction,"POINT(-13348.34 -2794.22)",1,2,23.15,"Windshear Digger","3999"
2024-08-05 14:40:47+00,Yseultb,XpGainAction,"POINT(-14038.02 931.31)",2,1,21.22,"Twilight Thug","218"
2024-08-05 14:40:47+00,Wyliame,XpGainAction,"POINT(-365.88 2696.07)",5,8,13.16,"Rot Hide Mongrel","82"
