Human start,"POINT(132.49 -8949.95)",83.53,0.00,1,2260
Orc and Troll start,"POINT(-9418.33 -4298.52)",38.72,0.00,1,2260
Dwarf and Gnome start,"POINT(-331.03 -6240.32)",382.76,0.00,1,2260
Night Elf start,"POINT(-14501.46 6631.30)",1326.41,0.00,1,2260
Undead start,"POINT(-1677.45 1676.35)",121.67,0.00,1,2260
Tauren start,"POINT(-13412.02 -6597.58)",53.00,0.00,1,2260
Gehennas,"POINT(15431.23 -4067.12)",-203.40,0.00,1,2260
High Tinker Mekkatorque,"POINT(1257.16 -4827.63)",506.12,0.00,1,2260
Blackwood Lake spirithealer,"POINT(4015.00 2641.28)",106.29,0.00,1,2260
Irontree Woods spirithealer,"POINT(-12465.00 2263.01)",382.95,0.00,1,2260
Twilight Vale spirithealer,"POINT(-13759.08 619.27)",42.75,0.00,1,2260
Flamegor,"POINT(15455.53 -459.42)",477.35,0.00,1,2260
Ironforge flightMaster,"POINT(1152.40 -4821.13)",502.30,0.00,1,2260
Kodo Graveyard spirithealer,"POINT(-15637.04 -5114.00)",86.04,0.00,1,2260
Steelgrills Depot innkeeper,"POINT(617.33 -5451.60)",394.55,0.00,1,2260
Sulfuron Harbinger,"POINT(16064.47 -4364.11)",-195.88,0.00,1,2260
Thunderbrew Distillery innkeeper,"POINT(531.20 -5601.60)",399.74,0.00,1,2260
Instructor Razuvious,"POINT(18538.52 -9908.85)",267.86,0.00,1,43
Voljin,"POINT(-9507.74 -1745.94)",40.99,0.00,1,2260
Deepwater Tavern innkeeper,"POINT(831.90 -3827.93)",10.09,0.00,1,2260
Gromgol Base Camp flightMaster,"POINT(-144.47 -12417.50)",3.37,0.00,1,2260
Booty Bay innkeeper,"POINT(-495.35 -14457.70)",15.21,0.00,1,2260
Booty Bay flightMaster,"POINT(-464.10 -14477.90)",36.47,0.00,1,2260
Archbishop Benedictus,"POINT(-848.78 -8522.61)",106.70,0.00,1,2260
Booty Bay flightMaster,"POINT(-506.13 -14448.60)",26.36,0.00,1,2260
