2023-02-14 16-20-03+00,RND,Heude,"POINT(354.27 -5581.82)",0.82,1,1,0,11,320,0.00,565524,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Errapel,"POINT(-703.61 -8796.73)",1.41,1,2,0,19,547,100.00,1214210,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Oriolta,"POINT(-9517.06 -2578.20)",3.51,2,3,1,37,1608,100.00,2710368,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Autesion,"POINT(-655.13 -9653.23)",5.98,3,4,0,10,238,100.00,323751,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Estmonda,"POINT(-190.90 1608.75)",2.68,5,5,0,12,217,100.00,844013,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Aldredusa,"POINT(-9456.85 -1756.55)",3.08,2,7,1,30,975,100.00,1726528,1,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Donnet,"POINT(-10036.79 -4429.32)",4.52,5,8,1,11,202,100.00,562817,2,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Theodoric,"POINT(-673.67 -8867.79)",0.00,7,9,0,12,208,100.00,703701,2,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Erasistratus,"POINT(-14060.42 6412.10)",0.00,4,11,1,9,180,100.00,530271,2,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Ysmeinaa,"POINT(546.91 -9766.87)",4.82,7,1,0,11,240,0.00,221541,2,120,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Grazide,"POINT(-8649.65 2901.57)",4.74,3,2,1,60,4021,100.00,2225561,2,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Fructosus,"POINT(-14652.61 6122.21)",0.00,4,3,1,8,165,100.00,705199,3,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Timasion,"POINT(-11674.26 -6056.27)",2.99,8,4,1,22,610,100.00,1413595,3,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Iriberri,"POINT(880.73 -11222.70)",0.00,1,5,0,39,1113,100.00,2933713,3,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Acroneos,"POINT(-10941.52 -4639.13)",3.13,2,7,1,20,620,100.00,1371802,3,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Climenon,"POINT(-1384.44 -10869.60)",0.87,1,8,0,13,232,100.00,346521,3,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Ourlady,"POINT(-6111.71 1207.97)",0.24,1,9,1,53,1889,100.00,2396265,4,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Auic,"POINT(-14592.84 2066.15)",0.00,4,11,1,14,305,100.00,655273,4,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Chernubles,"POINT(-253.98 1977.04)",0.15,5,1,0,12,389,0.00,623839,4,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Menicaa,"POINT(-127.15 -9428.12)",0.96,3,2,0,13,354,100.00,526282,4,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Goratze,"POINT(558.57 -9795.69)",3.40,3,3,0,9,222,100.00,664672,4,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Alisaunder,"POINT(3107.37 -5808.92)",5.51,1,4,0,13,269,100.00,359494,5,250,active,active,combat,combat,alive
2023-02-14 16-20-03+00,RND,Udaraa,"POINT(-9211.86 -2664.42)",1.76,8,5,1,14,347,100.00,1102879,5,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Theodoracisa,"POINT(-9652.99 -3732.60)",0.00,6,7,1,13,295,100.00,575495,5,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Bodenolf,"POINT(-650.00 -8854.71)",2.08,1,8,0,13,277,100.00,312703,5,250,inactive,active,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Alcon,"POINT(-1221.18 -10161.25)",4.82,1,9,0,14,268,53.38,482430,5,250,active,active,combat,combat,alive
2023-02-14 16-20-03+00,RND,Margarit,"POINT(-11451.33 -12661.33)",2.92,4,11,1,52,1891,100.00,2812448,5,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Selouaa,"POINT(747.05 -5427.30)",1.73,3,1,0,14,398,0.00,442244,20,250,active,active,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Phemie,"POINT(206.13 -9470.67)",0.33,3,2,0,13,404,100.00,157792,20,250,active,active,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Galfridusa,"POINT(-8521.15 2886.32)",1.27,3,3,1,60,3447,100.00,4885813,20,250,inactive,delay,non-combat,safe,alive
2023-02-14 16-20-03+00,RND,Doraa,"POINT(1197.80 -5044.55)",5.67,3,4,0,14,306,100.00,570987,20,250,active,delay,non-combat,safe,alive
